State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Rural_Households,Households_with_Electric_Lighting,SC,ST,Workers,Non_Workers,Sex-Ratio,Literacy Rate
Orissa,Koraput,18.82627794779476,82.81278469846964,398,1379647,3988,381789,85766,196540,697583,693406,686241,103.0,41.0
Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,613192,448,167884,24604,138295,354614,310666,302526,102.0,40.0
Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,2519738,2950,689110,140189,184682,1479576,1223534,1296204,101.0,54.0
Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,962789,1163,261646,124984,136399,58691,343633,619156,92.0,71.0
Orissa,Nuapada,20.471309512195116,82.59152536585364,394,610382,757,197258,43976,82159,206327,305438,304944,102.0,49.0
Orissa,Puri,19.83509174603177,85.86698989898981,387,1698730,3416,402014,201605,325133,6129,621676,1077054,96.0,76.0
Orissa,Rayagada,19.292840020060204,83.45860120361095,396,967911,1553,237343,61543,139514,541905,467122,500789,105.0,42.0
Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,1041099,5231,220697,126498,191827,355261,505840,535259,98.0,68.0
Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,2093437,12787,387911,223537,191660,1062349,873227,1220210,97.0,64.0
Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,200222,1868,35618,47880,35348,0,68301,131921,105.0,77.0
Puducherry,Mahe,12.006420793787758,75.28275021570326,636,41816,574,0,7150,144,0,11802,30014,118.0,87.0
Puducherry,Yanam,16.707695652173904,82.26187304347832,634,55626,207,0,12859,8427,0,16760,38866,104.0,71.0
Punjab,Amritsar,31.548679820627772,74.79883856502238,49,2490656,29961,275477,461231,770864,0,917856,1572800,89.0,68.0
Punjab,Bathinda,30.190524611973352,75.05685898004438,46,1388525,11284,218159,255650,450473,0,549986,838539,87.0,61.0
Punjab,Faridkot,30.591187250996025,74.79751553784862,45,617508,4348,99946,113549,240328,0,221555,395953,89.0,62.0
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,600163,5138,117559,113683,192493,0,214783,385380,87.0,71.0
Punjab,Firozpur,30.63407535211269,74.40245732394365,43,2029074,10042,348522,349662,855726,0,756695,1272379,89.0,60.0
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,2298323,14428,420860,411216,580576,0,757138,1541185,90.0,71.0
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,13747,422673,319930,557504,0,499822,1086803,96.0,76.0
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,39082,330339,446200,854444,0,774472,1419118,92.0,74.0
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,9732,165433,161206,276707,0,284165,531003,91.0,71.0
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,58589,395032,703624,923358,0,1284822,2213917,87.0,73.0
Punjab,Mansa,29.919547714285724,75.4304922857143,47,769751,2673,145603,140099,258878,0,328512,441239,88.0,55.0
Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,7897,214295,183396,363417,0,359172,636574,89.0,63.0
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,4571,149507,166585,381554,0,335326,566570,90.0,58.0
Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,24274,299279,352929,465359,0,660267,1235419,89.0,67.0
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,6600,148162,129123,180905,0,233676,450951,92.0,73.0
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,10736,292156,305557,461609,0,568758,1086411,89.0,61.0
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,13499,409335,393498,478027,63482,1053722,1529330,95.0,59.0
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,9750,782294,485723,653036,289249,1708542,1965637,89.0,59.0
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,2324,390437,120603,80091,1372999,916574,880911,98.0,46.0
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,1363,249184,161310,221184,276857,552583,670172,93.0,57.0
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,2766,542825,126494,436414,176257,1202482,1401269,90.0,46.0
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,4179,479437,288723,557305,54090,1071154,1477308,88.0,58.0
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,6207,530015,373644,407947,229273,1148165,1260358,97.0,52.0
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,7607,335754,220793,493646,7779,986208,1377729,91.0,54.0
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,1392,239836,136969,210788,228549,526091,584815,92.0,53.0
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,4941,366780,268172,250224,201546,802755,741583,97.0,53.0
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,2577,344897,231696,451721,11245,902829,1136718,94.0,56.0
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,1719,361084,195277,354337,433344,684495,949914,91.0,57.0
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,1330,214670,96086,245695,58594,523212,683304,85.0,57.0
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,1477,322816,141275,52267,983437,641515,747037,99.0,49.0
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,6295,397697,283142,720412,13477,912672,1056496,89.0,61.0
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,3360,389059,243163,494189,14289,835260,939432,91.0,58.0
